28089 individus au total dans la vague
196 bacs dans le fichier

Id Bac;Nombre d'individus
03185;19071;6;6;6
03185;19131;6;6;6
03185;19203;0;0;0
03185;19213;6;6;6
03185;19218;6;6;6
03185;19308;2;2;2
03185;19327;0;0;0
03185;19378;0;0;0
03185;19446;12;13;12
03185;19458;12;13;12
03185;19459;3;3;3
03185;19460;12;13;12
03185;19520;0;0;0
03185;19579;6;6;6
03185;19640;3;3;3
03185;19702;0;0;0
03185;19762;0;0;0
03185;19808;0;0;0
03185;19890;3;3;3
03185;20438;0;0;0
03185;20440;2;2;2
03185;20474;0;0;0
03185;20517;3;3;3
03185;20522;0;0;0
03185;20613;0;0;0
03185;20752;2;2;2
03185;20753;0;0;0
03185;20812;6;6;6
03185;20827;56;63;56
03185;20828;2;2;2
03185;20900;0;0;0
03185;21715;0;0;0
03185;21838;0;0;0
03185;22016;2;2;2
03185;22093;0;0;0
03185;22151;20;21;20
03185;22182;6;6;6
03185;23116;6;6;6
03185;23998;0;0;0
03185;24381;0;0;0
03185;24496;3;3;3
03185;24647;20;21;20
03185;24768;12;13;12
03185;24769;6;6;6
03185;25102;0;0;0
03185;25406;6;6;6
03190;8492;14;15;14
03190;13684;5;6;5
03190;14221;0;0;0
03190;14525;0;0;0
03190;15001;0;0;0
03190;15221;2;2;2
03190;16704;0;0;0
03190;16757;5;6;5
03190;17524;2;2;2
03190;17558;2;2;2
03190;17611;14;15;14
03190;17651;0;0;0
03190;17889;2;2;2
03190;17969;2;2;2
03190;18080;5;6;5
03190;18293;14;15;14
03190;18430;14;15;14
03190;18916;5;6;5
03190;20549;2;2;2
03190;20709;2;2;2
03190;20723;0;0;0
03190;20836;14;15;14
03190;21428;14;15;14
03190;21704;2;2;2
03190;21849;2;2;2
03190;24206;2;2;2
03190;24730;5;6;5
03190;25654;5;6;5
03310;3782;6;6;6
03310;8050;6;6;6
03310;12609;6;6;6
03310;13738;12;13;12
03310;13874;0;0;0
03310;14514;2;2;2
03310;14635;4;4;4
03310;14637;0;0;0
03310;14847;0;0;0
03310;15098;4;4;4
03310;15099;0;0;0
03310;15356;2;2;2
03310;15359;0;0;0
03310;15417;6;6;6
03310;15506;0;0;0
03310;15941;12;13;12
03310;15945;0;0;0
03310;16161;0;0;0
03310;16274;0;0;0
03310;16304;0;0;0
03310;16323;21;23;21
03310;16343;0;0;0
03310;16390;0;0;0
03310;16393;4;4;4
03310;16432;16;16;16
03310;16508;12;13;12
03310;16769;3;3;3
03310;16811;0;0;0
03310;16824;0;0;0
03310;16831;20;21;20
03310;16838;0;0;0
03310;16841;0;0;0
03310;16928;0;0;0
03310;16967;4;5;4
03310;16981;0;0;0
03310;17125;6;6;6
03310;17136;0;0;0
03310;17142;6;6;6
03310;17157;0;0;0
03310;17214;0;0;0
03310;17321;3;3;3
03310;17736;0;0;0
03310;17916;16;16;16
03310;18083;6;6;6
03310;18103;56;63;56
03310;18104;4;4;4
03310;18147;0;0;0
03310;18189;6;6;6
03310;18212;0;0;0
03310;18324;0;0;0
03310;18343;3;3;3
03310;18366;2;2;2
03310;18476;0;0;0
03310;18655;0;0;0
03310;18776;6;6;6
03310;18845;6;6;6
03310;18856;0;0;0
03310;18971;0;0;0
03310;18980;20;21;20
03310;19008;2;2;2
03310;19027;0;0;0
03310;19074;12;13;12
03310;19087;2;2;2
03310;19105;0;0;0
03310;19291;0;0;0
03310;19342;6;6;6
03310;19355;0;0;0
03310;19522;6;6;6
03310;19536;6;6;6
03310;19631;6;6;6
03310;19632;0;0;0
03310;19664;0;0;0
03310;19677;3;3;3
03310;19704;2;2;2
03310;19759;3;3;3
03310;19781;6;6;6
03310;19862;0;0;0
03310;19981;2;2;2
03310;20290;12;13;12
03310;20369;0;0;0
03310;20374;6;6;6
03310;20399;0;0;0
03310;20414;6;6;6
03310;20480;2;2;2
03310;20547;3;3;3
03310;20548;0;0;0
03310;20610;0;0;0
03310;20707;2;2;2
03310;20733;2;2;2
03310;20757;0;0;0
03310;20814;0;0;0
03310;20818;0;0;0
03310;20824;0;0;0
03310;20860;0;0;0
03310;21399;0;0;0
03310;21472;0;0;0
03310;21693;0;0;0
03310;21702;12;13;12
03310;21940;56;63;56
03310;21944;0;0;0
03310;22026;2;2;2
03310;22339;0;0;0
03310;24059;5;5;5
03310;24216;6;6;6
03310;24232;0;0;0
03310;24260;0;0;0
03310;24515;12;13;12
03310;24654;0;0;0
03310;24694;6;6;6
03310;25004;2;2;2
04070;14033;0;0;0
04070;14270;4;4;4
04070;15048;4;4;4
04070;16684;0;0;0
04070;17507;0;0;0
04070;18321;0;0;0
04070;18662;0;0;0
04070;19500;21;23;21
04070;20500;0;0;0
04070;24386;5;5;5
04070;24615;5;5;5
04112;15322;0;0;0
04112;16589;5;6;5
04112;17084;0;0;0
04112;17521;5;6;5
04112;17625;2;2;2
04112;17717;0;0;0
04112;18351;21;23;21
04112;18909;2;2;2
04112;19013;5;6;5
04112;19299;5;6;5
04112;19708;0;0;0
04112;20000;4;5;4
04112;20267;2;2;2
04112;20388;16;16;16
04112;21897;0;0;0
06029;334;3;3;3
06029;2418;6;6;6
06029;2981;6;6;6
06029;6243;6;6;6
06029;9812;12;13;12
06029;9911;12;13;12
06029;10652;3;3;3
06029;11756;4;4;4
06029;13970;25;27;25
06029;14036;25;27;25
06029;14166;0;0;0
06029;14339;0;0;0
06029;14437;25;27;25
06029;14529;0;0;0
06029;14531;8;9;8
06029;14532;0;0;0
06029;14533;0;0;0
06029;14628;4;4;4
06029;14772;0;0;0
06029;14900;25;27;25
06029;14951;3;3;3
06029;15038;6;6;6
06029;15091;0;0;0
06029;15108;8;9;8
06029;15145;12;13;12
06029;15421;0;0;0
06029;15431;0;0;0
06029;15455;2;2;2
06029;15459;8;9;8
06029;15461;8;9;8
06029;15500;12;13;12
06029;15579;0;0;0
